Nom,Prix,Carburant,Modèle,CV,KM,Ville
KIA Picanto,110.000 DH  VENDUE,Essence,2020,6 cv,26.000 km,Casablanca
NISSAN Primera,25.000 DH  VENDUE,Diesel,2010,8 cv,125.000 km,Berrechid
NISSAN Qashqai,90.000 DH  VENDUE,Diesel,2012,6 cv,145.000 km,Fès
KIA Seltos,230.000 DH  VENDUE,Diesel,2022,6 cv,22.000 km,Agadir
HYUNDAI Tucson,227.000 DH  VENDUE,Diesel,2017,6 cv,110.000 km,Casablanca
SEAT Leon,133.000 DH  VENDUE,Diesel,2014,6 cv,200.000 km,Fès
BMW X5,319.000 DH  VENDUE,Diesel,2016,8 cv,140.000 km,Kénitra
MINI 3 portes,95.000 DH  VENDUE,Essence,2008,8 cv,94.500 km,Agadir
DACIA Sandero,72.000 DH  VENDUE,Diesel,2016,6 cv,76.000 km,Casablanca
JEEP Grand Cherokee,135.000 DH  VENDUE,Diesel,2014,12 cv,243.000 km,Rabat
VOLKSWAGEN Scirocco,115.000 DH  VENDUE,Essence,2011,11 cv,101.700 km,Casablanca
FIAT Punto,86.000 DH  VENDUE,Diesel,2016,6 cv,109.000 km,Casablanca
FORD Focus,165.000 DH  VENDUE,Diesel,2018,8 cv,130.000 km,Casablanca
KIA Seltos,250.000 DH  VENDUE,Diesel,2022,6 cv,16.700 km,Casablanca
MERCEDES Classe E,235.000 DH  VENDUE,Diesel,2014,9 cv,142.000 km,Rabat
FIAT Palio Import,36.000 DH  VENDUE,Essence,2005,7 cv,100.000 km,Temara
AUDI A5 SportBack,319.000 DH  VENDUE,Diesel,2017,8 cv,166.000 km,Casablanca
VOLKSWAGEN Tiguan,295.000 DH  VENDUE,Diesel,2019,8 cv,82.000 km,Salé
FORD Focus,125.000 DH  VENDUE,Diesel,2012,6 cv,141.000 km,Rabat
VOLKSWAGEN Golf,78.000 DH  VENDUE,Diesel,2007,8 cv,289.400 km,Casablanca
RENAULT Mégane,180.000 DH  VENDUE,Diesel,2020,6 cv,34.000 km,El Jadida
RENAULT Mégane Sedan,50.000 DH  VENDUE,Diesel,2004,6 cv,200.000 km,Khemissate
PEUGEOT Partner Tepee,93.000 DH  VENDUE,Diesel,2013,6 cv,175.000 km,Casablanca
DACIA Logan,70.000 DH  VENDUE,Diesel,2015,6 cv,120.000 km,Salé
MERCEDES Classe E Coupé,440.000 DH  VENDUE,Diesel,2019,8 cv,82.000 km,Casablanca
MERCEDES GLA,220.000 DH  VENDUE,Diesel,2014,9 cv,155.000 km,Tanger
BMW Série 3,225.000 DH  VENDUE,Diesel,2014,8 cv,189.000 km,Temara
VOLKSWAGEN Touareg,75.000 DH  VENDUE,Diesel,2008,12 cv,345.000 km,Rabat
AUDI A6,259.000 DH  VENDUE,Diesel,2017,8 cv,110.000 km,Casablanca
RENAULT Clio,136.000 DH  VENDUE,Diesel,2020,6 cv,73.000 km,Casablanca
OPEL Corsa,130.000 DH  VENDUE,Essence,2021,7 cv,17.000 km,Meknès
FORD Fiesta,130.000 DH  VENDUE,Diesel,2016,6 cv,65.000 km,Salé
LAND ROVER Range Rover Sport,560.000 DH  VENDUE,Diesel,2019,12 cv,109.000 km,Casablanca
VOLKSWAGEN Tiguan,173.000 DH  VENDUE,Diesel,2014,8 cv,110.000 km,Fès
MERCEDES Classe E,395.000 DH  VENDUE,Diesel,2017,8 cv,144.000 km,Marrakech
FIAT Uno,23.000 DH  VENDUE,Essence,1998,6 cv,269.000 km,Aït Melloul
FORD Kuga,280.000 DH  VENDUE,Diesel,2021,6 cv,48.000 km,Casablanca
HONDA CR-V,225.000 DH  VENDUE,Diesel,2018,6 cv,76.800 km,Rabat
HYUNDAI i40,150.000 DH  VENDUE,Diesel,2016,7 cv,85.000 km,Kénitra
AUDI Q5,160.000 DH  VENDUE,Diesel,2010,8 cv,206.000 km,Rabat
CITROEN C4,88.000 DH  VENDUE,Diesel,2014,6 cv,282.000 km,Casablanca
OPEL Corsa,165.000 DH  VENDUE,Diesel,2022,6 cv,26.000 km,Casablanca
SKODA Octavia,168.000 DH  VENDUE,Diesel,2018,8 cv,84.500 km,Casablanca
AUDI Q5,405.000 DH  VENDUE,Diesel,2019,8 cv,46.000 km,Casablanca
NISSAN Qashqai,113.000 DH  VENDUE,Diesel,2011,6 cv,215.000 km,Fès
PEUGEOT 3008,103.000 DH  VENDUE,Diesel,2012,6 cv,208.000 km,Marrakech
FORD Kuga,220.000 DH  VENDUE,Diesel,2019,6 cv,190.000 km,Casablanca
VOLVO XC60,300.000 DH  VENDUE,Diesel,2018,8 cv,93.000 km,Casablanca
BMW Série 3,195.000 DH  VENDUE,Diesel,2014,cv,93.000 km,Casablanca
AUDI A4,230.000 DH  VENDUE,Diesel,2017,8 cv,203.000 km,Marrakech
KIA Picanto,53.000 DH  VENDUE,Essence,2007,6 cv,180.000 km,Beni Mellal
VOLKSWAGEN CC,140.000 DH  VENDUE,Diesel,2011,8 cv,215.000 km,Agadir
FORD Fiesta,135.000 DH  VENDUE,Diesel,2018,6 cv,94.000 km,Mohammadia
FORD Kuga,149.999 DH  VENDUE,Diesel,2014,8 cv,123.000 km,Rabat
DACIA Logan,60.000 DH  VENDUE,Diesel,2010,6 cv,197.000 km,Salé
PEUGEOT 208,110.000 DH  VENDUE,Diesel,2018,6 cv,107.000 km,Casablanca
PEUGEOT 3008,240.000 DH  VENDUE,Diesel,2018,8 cv,92.000 km,Essaouira
BMW X1,255.000 DH  VENDUE,Diesel,2017,8 cv,37.500 km,Tanger
OPEL Astra,134.000 DH  VENDUE,Diesel,2015,7 cv,78.000 km,Rabat
SEAT Ibiza,119.000 DH  VENDUE,Essence,2019,7 cv,79.000 km,Casablanca
OPEL Astra,70.000 DH  VENDUE,Diesel,2008,7 cv,250.000 km,Casablanca
SEAT Leon,210.000 DH  VENDUE,Essence,2016,11 cv,113.000 km,Larache
MERCEDES Classe C,155.000 DH  VENDUE,Diesel,2007,9 cv,316.000 km,Oujda
TOYOTA Corolla Berline,125.000 DH  VENDUE,Diesel,2014,6 cv,172.000 km,Casablanca
VOLKSWAGEN Tiguan,150.000 DH  VENDUE,Diesel,2014,8 cv,132.000 km,Casablanca
RENAULT Mégane,235.000 DH  VENDUE,Diesel,2022,6 cv,9.350 km,Tanger
BMW Série 3,210.000 DH  VENDUE,Diesel,2015,8 cv,87.000 km,Casablanca
HYUNDAI ix35,135.000 DH  VENDUE,Diesel,2012,cv,164.000 km,Tanger
VOLKSWAGEN Passat,180.000 DH  VENDUE,Diesel,2016,8 cv,150.000 km,Casablanca
RENAULT Clio,128.000 DH  VENDUE,Diesel,2016,6 cv,30.000 km,Meknès
VOLKSWAGEN Tiguan,315.000 DH  VENDUE,Diesel,2021,8 cv,55.000 km,Casablanca
VOLKSWAGEN Golf,160.000 DH  VENDUE,Diesel,2013,6 cv,250.000 km,Casablanca
PEUGEOT 208,159.000 DH  VENDUE,Diesel,2019,6 cv,16.500 km,Rabat
PEUGEOT 308,163.000 DH  VENDUE,Diesel,2017,7 cv,66.000 km,Tanger
OPEL Astra,125.000 DH  VENDUE,Diesel,2015,8 cv,163.000 km,Rabat
BMW Série 4 Gran Coupé,265.000 DH  VENDUE,Diesel,2016,8 cv,181.000 km,Casablanca
FIAT 500X,198.000 DH  VENDUE,Diesel,2022,6 cv,12.000 km,Rabat
CITROEN C3,80.000 DH  VENDUE,Essence,2017,7 cv,47.483 km,Kénitra
RENAULT Talisman,275.000 DH  VENDUE,Diesel,2020,6 cv,23.000 km,Casablanca
VOLKSWAGEN Coccinelle,210.000 DH  VENDUE,Diesel,2017,8 cv,48.500 km,Rabat
AUDI A6,140.000 DH  VENDUE,Diesel,2012,cv,245.000 km,Casablanca
NISSAN Micra,132.000 DH  VENDUE,Diesel,2018,6 cv,59.000 km,Rabat
DACIA Duster,170.000 DH  VENDUE,Diesel,2018,6 cv,100.000 km,Casablanca
MERCEDES Classe E,380.000 DH  VENDUE,Diesel,2016,8 cv,128.000 km,Agadir
LAND ROVER Range Rover Evoque,330.000 DH  VENDUE,Diesel,2018,8 cv,62.000 km,Rabat
LAND ROVER Range Rover Evoque,340.000 DH  VENDUE,Diesel,2018,8 cv,71.000 km,Casablanca
BMW Série 6 Gran Coupé,285.000 DH  VENDUE,Diesel,2012,12 cv,150.000 km,Rabat
TOYOTA RAV 4,148.000 DH  VENDUE,Diesel,2013,8 cv,130.000 km,Rabat
FORD Kuga,155.000 DH  VENDUE,Diesel,2015,8 cv,223.000 km,Tétouan
AUDI A5 SportBack,334.000 DH  VENDUE,Diesel,2017,8 cv,165.000 km,Casablanca
NISSAN Qashqai,165.000 DH  VENDUE,Diesel,2016,6 cv,120.000 km,Kénitra
VOLKSWAGEN Tiguan,360.000 DH  VENDUE,Diesel,2016,8 cv,195.000 km,Rabat
VOLVO V40,146.000 DH  VENDUE,Diesel,2018,8 cv,118.000 km,Rabat
BMW Série 6 Gran Turismo,43.244 DH  VENDUE,Hybride,2015,cv,8.768 km,Casablanca
SKODA Yeti,115.000 DH  VENDUE,Diesel,2012,8 cv,171.000 km,Salé
SUZUKI Maruti,30.000 DH  VENDUE,Essence,2007,5 cv,67.600 km,Casablanca
FORD Focus,128.000 DH  VENDUE,Diesel,2015,6 cv,119.800 km,Casablanca
TOYOTA Fortuner,410.000 DH  VENDUE,Diesel,2022,10 cv,24.000 km,Figuig
DACIA Dokker,129.000 DH  VENDUE,Diesel,2020,6 cv,70.000 km,El Jadida
TOYOTA Corolla Sport,245.000 DH  VENDUE,Hybride,2021,10 cv,33.000 km,Casablanca
VOLKSWAGEN Passat,82.000 DH  VENDUE,Diesel,2005,8 cv,230.000 km,Khénifra
HYUNDAI Santa Fe,105.000 DH  VENDUE,Diesel,2010,9 cv,263.000 km,Tanger
ALFA ROMEO Giulietta,120.000 DH  VENDUE,Diesel,2013,6 cv,107.000 km,Casablanca
OPEL Grandland,255.000 DH  VENDUE,Diesel,2021,6 cv,20.800 km,Marrakech
BMW Série 3,370.000 DH  VENDUE,Diesel,2021,8 cv,22.000 km,Rabat
BMW Série 2 Gran Coupé,420.000 DH  VENDUE,Diesel,2022,8 cv,39.000 km,El Jadida
MERCEDES Classe C,42.000 DH  VENDUE,Essence,2002,11 cv,180.000 km,Tétouan
MERCEDES GLE,665.000 DH  VENDUE,Diesel,2019,8 cv,57.000 km,El Jadida
AUDI A3 Sportback,195.000 DH  VENDUE,Diesel,2016,6 cv,82.000 km,Mohammadia
TOYOTA Fortuner,375.000 DH  VENDUE,Diesel,2022,9 cv,64.000 km,Casablanca
FIAT 500L,140.000 DH  VENDUE,Diesel,2018,5 cv,109.000 km,Tanger
BMW X1,255.000 DH  VENDUE,Diesel,2017,8 cv,34.000 km,Tanger
ALFA ROMEO Giulia,255.000 DH  VENDUE,Diesel,2017,9 cv,63.000 km,Casablanca
OPEL Astra,168.000 DH  VENDUE,Diesel,2017,6 cv,55.400 km,Temara
FORD Fiesta,82.000 DH  VENDUE,Diesel,2012,6 cv,140.000 km,Tanger
RENAULT R21,52.000 DH  VENDUE,Diesel,1998,8 cv,293.000 km,Meknès
CITROEN C5 AirCross,225.000 DH  VENDUE,Diesel,2020,8 cv,115.000 km,Casablanca
NISSAN Qashqai,132.000 DH  VENDUE,Diesel,2014,6 cv,90.000 km,Casablanca
OPEL Astra,85.000 DH  VENDUE,Diesel,2011,7 cv,210.000 km,Casablanca
PEUGEOT 207,80.000 DH  VENDUE,Diesel,2007,6 cv,91.000 km,Casablanca
HYUNDAI Elantra,140.000 DH  VENDUE,Diesel,2015,6 cv,210.000 km,Beni Mellal
BMW Série 4 Gran Coupé,273.000 DH  VENDUE,Diesel,2015,8 cv,125.654 km,Rabat
HYUNDAI Elantra,140.000 DH  VENDUE,,2015,6 cv,210.000 km,Casablanca
PEUGEOT 208,112.000 DH  VENDUE,Diesel,2017,6 cv,88.000 km,Casablanca
VOLVO XC90,540.000 DH  VENDUE,Diesel,2020,8 cv,45.000 km,Tanger
RENAULT Scénic,88.000 DH  VENDUE,Diesel,2009,6 cv,175.000 km,Rabat
DACIA Dokker,105.000 DH  VENDUE,Diesel,2020,6 cv,93.000 km,Casablanca
NISSAN Micra,127.000 DH  VENDUE,Diesel,2017,6 cv,67.000 km,Mohammadia
RENAULT Clio,108.000 DH  VENDUE,Diesel,2015,6 cv,132.000 km,Casablanca
HYUNDAI i10,75.000 DH  VENDUE,Essence,2016,6 cv,54.100 km,Marrakech
DACIA Logan,108.000 DH  VENDUE,Diesel,2018,6 cv,72.000 km,Mohammadia
AUDI A3 Sportback,260.000 DH  VENDUE,Diesel,2018,8 cv,105.000 km,Mohammadia
FIAT Linea,68.000 DH  VENDUE,Essence,2016,8 cv,160.000 km,Casablanca
FORD Focus,130.000 DH  VENDUE,Diesel,2016,6 cv,141.000 km,Casablanca
BMW Série 3,400.000 DH  VENDUE,Diesel,2021,8 cv,55.000 km,Salé
BMW X5,385.000 DH  VENDUE,Diesel,2018,12 cv,69.000 km,Casablanca
KIA Sportage,110.000 DH  VENDUE,Diesel,2012,8 cv,48.000 km,Casablanca
BMW Série 4 Gran Coupé,243.000 DH  VENDUE,Diesel,2014,8 cv,83.000 km,Casablanca
HONDA Jazz,55.000 DH  VENDUE,Essence,2004,8 cv,210.000 km,Oujda
PEUGEOT 407,45.000 DH  VENDUE,Essence,2005,11 cv,200.000 km,Marrakech
PEUGEOT 208,140.000 DH  VENDUE,Diesel,2020,6 cv,46.000 km,Casablanca
NISSAN Juke,142.000 DH  VENDUE,Diesel,2015,6 cv,70.000 km,Rabat
RENAULT Clio,100.000 DH  VENDUE,Diesel,2013,6 cv,211.000 km,Agadir
BMW Série 4 Gran Coupé,279.000 DH  VENDUE,Diesel,2015,9 cv,125.563 km,Casablanca
AUDI A3 Berline,240.000 DH  VENDUE,Diesel,2017,8 cv,68.500 km,Marrakech
VOLKSWAGEN Tiguan,176.000 DH  VENDUE,Diesel,2014,8 cv,108.000 km,Fès
PEUGEOT 2008,208.000 DH  VENDUE,Diesel,2020,6 cv,25.000 km,Rabat
DACIA Logan,110.000 DH  VENDUE,Diesel,2018,6 cv,72.000 km,Mohammadia
VOLKSWAGEN Coccinelle,265.000 DH  VENDUE,Diesel,2020,8 cv,23.000 km,Casablanca
LAND ROVER Range Rover Evoque,385.000 DH  VENDUE,Diesel,2019,8 cv,68.000 km,Casablanca
NISSAN Juke,235.000 DH  VENDUE,Essence,2023,6 cv,21.000 km,Casablanca
PEUGEOT 3008,245.000 DH  VENDUE,Diesel,2021,6 cv,36.000 km,Temara
VOLKSWAGEN Taigun,340.000 DH  VENDUE,Diesel,2020,cv,35.000 km,Casablanca
PEUGEOT 206,55.000 DH  VENDUE,Diesel,2023,cv,125.000 km,Casablanca
BMW Série 5,330.000 DH  VENDUE,Diesel,2018,8 cv,111.000 km,Casablanca
MERCEDES Classe A,220.000 DH  VENDUE,Diesel,2014,9 cv,245 km,Rabat
AUDI A1 Sportback,149.000 DH  VENDUE,Diesel,2014,6 cv,130.000 km,Rabat
VOLKSWAGEN Passat,90.000 DH  VENDUE,Diesel,2007,8 cv,333.000 km,Agadir
MERCEDES Classe S,900.000 DH  VENDUE,Diesel,2022,12 cv,96.000 km,Casablanca
NISSAN Micra,126.000 DH  VENDUE,Diesel,2017,6 cv,108.000 km,Kénitra
MERCEDES Classe B,240.000 DH  VENDUE,Diesel,2018,6 cv,57.000 km,Casablanca
TOYOTA Land Cruiser Prado,105.000 DH  VENDUE,Diesel,2008,12 cv,394.500 km,Rabat
KIA Optima,190.000 DH  VENDUE,Diesel,2018,7 cv,36.000 km,Fès
FORD Fiesta,110.000 DH  VENDUE,Diesel,2014,6 cv,200.000 km,Casablanca
VOLKSWAGEN Polo,110.000 DH  VENDUE,Diesel,2014,7 cv,71.000 km,Casablanca
FORD Fiesta,97.000 DH  VENDUE,Diesel,2015,6 cv,150.000 km,Rabat
FIAT 500,105.000 DH  VENDUE,Essence,2019,7 cv,74.000 km,Casablanca
KIA Cerato,47.000 DH  VENDUE,Diesel,2006,8 cv,206.000 km,Rabat
KIA Ceed,140.000 DH  VENDUE,Diesel,2016,6 cv,120.000 km,Meknès
MERCEDES CLA Coupé,194.000 DH  VENDUE,Diesel,2013,9 cv,130.000 km,Marrakech
FORD Kuga,160.000 DH  VENDUE,Diesel,2015,8 cv,223.000 km,Tétouan
JEEP Grand Cherokee,255.000 DH  VENDUE,Diesel,2019,12 cv,96.000 km,Casablanca
VOLKSWAGEN Touareg,290.000 DH  VENDUE,Diesel,2019,12 cv,77.000 km,Casablanca
PORSCHE Macan,380.000 DH  VENDUE,Diesel,2015,12 cv,95.000 km,Casablanca
AUDI A1,125.000 DH  VENDUE,Diesel,2011,6 cv,149.000 km,Casablanca
VOLVO XC90,390.000 DH  VENDUE,Diesel,2019,8 cv,103.000 km,Tanger
DACIA Logan,50.000 DH  VENDUE,Diesel,2014,6 cv,130.000 km,Casablanca
BMW X1,245.000 DH  VENDUE,Diesel,2016,8 cv,79.000 km,Kénitra
SEAT Leon,210.000 DH  VENDUE,Diesel,2017,8 cv,95.500 km,Casablanca
VOLKSWAGEN Tiguan,250.000 DH  VENDUE,Diesel,2020,8 cv,35.000 km,Casablanca
VOLKSWAGEN Polo,65.000 DH  VENDUE,Diesel,2006,6 cv,210.000 km,Agadir
KIA ProCeed,65.000 DH  VENDUE,Diesel,2008,cv,282.000 km,Casablanca
LAND ROVER Discovery Sport,390.000 DH  VENDUE,Diesel,2020,8 cv,45.500 km,Rabat
MERCEDES Classe E,170.000 DH  VENDUE,Diesel,2010,12 cv,109.000 km,Casablanca
RENAULT Captur,180.000 DH  VENDUE,Diesel,2020,6 cv,39.000 km,Agadir
TOYOTA Land Cruiser 200,550.000 DH  VENDUE,Diesel,2017,18 cv,139.000 km,Rabat
AUDI A3 Sportback,270.000 DH  VENDUE,Diesel,2018,8 cv,105.000 km,Mohammadia
FIAT Doblo,65.000 DH  VENDUE,Diesel,2012,6 cv,200.000 km,Casablanca
NISSAN Juke,240.000 DH  VENDUE,Essence,2021,6 cv,4.633 km,Casablanca
SKODA Octavia,100.000 DH  VENDUE,Diesel,2011,8 cv,216.000 km,Casablanca
PEUGEOT 3008,290.000 DH  VENDUE,Diesel,2021,8 cv,49.000 km,Casablanca
AUDI A3 Sportback,230.000 DH  VENDUE,Diesel,2022,8 cv,150.000 km,Casablanca
MERCEDES Classe S,250.000 DH  VENDUE,Diesel,2011,9 cv,130.000 km,Rabat
FORD Focus,200.000 DH  VENDUE,Diesel,2021,6 cv,24.000 km,Berrechid
ALFA ROMEO Giulia,265.000 DH  VENDUE,Diesel,2017,9 cv,62.000 km,Casablanca
MERCEDES Classe C,360.000 DH  VENDUE,Diesel,2020,8 cv,64.000 km,Rabat
MERCEDES Classe A,245.000 DH  VENDUE,Diesel,2018,8 cv,75.000 km,Rabat
MERCEDES Classe A,264.000 DH  VENDUE,Diesel,2018,6 cv,126.000 km,Casablanca
VOLKSWAGEN Arteon,256.000 DH  VENDUE,Diesel,2019,8 cv,120.000 km,Rabat
RENAULT Laguna,50.000 DH  VENDUE,Essence,2009,cv,206.000 km,Casablanca
HYUNDAI i20,125.000 DH  VENDUE,Essence,2018,7 cv,88.000 km,Salé
JAGUAR XE,260.000 DH  VENDUE,Diesel,2016,8 cv,155.000 km,Casablanca
RENAULT Kadjar,165.000 DH  VENDUE,Diesel,2017,6 cv,91.000 km,Rabat
MERCEDES CLC,315.000 DH  VENDUE,Diesel,2016,9 cv,101.000 km,Casablanca
VOLKSWAGEN Golf,65.000 DH  VENDUE,Essence,2009,8 cv,220.000 km,Salé
AUDI A4,163.000 DH  VENDUE,Diesel,2013,8 cv,195.000 km,Rabat
RENAULT Clio,119.000 DH  VENDUE,Diesel,2018,6 cv,57.500 km,Casablanca
CITROEN C5,46.000 DH  VENDUE,Diesel,2003,8 cv,250.000 km,Ouarzazate
VOLKSWAGEN Jetta,190.000 DH  VENDUE,Diesel,2020,8 cv,99.000 km,Agadir
VOLKSWAGEN CC,159.000 DH  VENDUE,Diesel,2016,8 cv,210.000 km,Casablanca
FIAT Punto,65.000 DH  VENDUE,Diesel,2018,6 cv,64.000 km,Casablanca
BMW X6,110.000 DH  VENDUE,Diesel,2009,12 cv,206.000 km,Casablanca
SEAT Leon,78.000 DH  VENDUE,Diesel,2007,8 cv,250.000 km,Tétouan
BMW Série 5,195.000 DH  VENDUE,Diesel,2013,8 cv,205.000 km,Rabat
JAGUAR XF,260.000 DH  VENDUE,Diesel,2016,8 cv,143.000 km,Mohammadia
MERCEDES Classe A,230.000 DH  VENDUE,Diesel,2017,6 cv,50.000 km,Casablanca
DS DS7 Crossback,380.000 DH  VENDUE,Diesel,2021,8 cv,25.000 km,Casablanca
MINI 3 portes,220.000 DH  VENDUE,Essence,2016,11 cv,85.000 km,Casablanca
BMW Série 3,275.000 DH  VENDUE,Diesel,2019,8 cv,120.000 km,Casablanca
MERCEDES GLE,675.000 DH  VENDUE,Diesel,2019,8 cv,56.000 km,El Jadida
PEUGEOT 208,145.000 DH  VENDUE,Diesel,2020,6 cv,20.000 km,Casablanca
AUDI A3 Berline,265.000 DH  VENDUE,Diesel,2018,8 cv,26.000 km,Casablanca
MERCEDES Classe A,188.000 DH  VENDUE,Diesel,2013,7 cv,175.000 km,Fès
SEAT Leon,85.000 DH  VENDUE,Diesel,2008,8 cv,230.000 km,Sidi Kacem
SEAT Ateca,285.000 DH  VENDUE,Diesel,2020,8 cv,84.000 km,Rabat
RENAULT Mégane,45.000 DH  VENDUE,Essence,2004,8 cv,180.280 km,Tanger
HYUNDAI i20,110.000 DH  VENDUE,Essence,2020,7 cv,39.000 km,Casablanca
RENAULT Clio,88.000 DH  VENDUE,Essence,2017,7 cv,160.000 km,Agadir
PEUGEOT 208,132.000 DH  VENDUE,Diesel,2020,6 cv,70.000 km,Casablanca
HYUNDAI i10,54.000 DH  VENDUE,Essence,2010,6 cv,160.000 km,Casablanca
BMW Série 5,55.000 DH  VENDUE,Diesel,2000,9 cv,267.000 km,Marrakech
MERCEDES Classe A,250.000 DH  VENDUE,Diesel,2017,6 cv,61.000 km,Casablanca
FIAT 500,98.000 DH  VENDUE,Essence,2016,7 cv,95.000 km,Casablanca
SSANGYONG Rexton,78.000 DH  VENDUE,Diesel,2013,8 cv,170.000 km,Casablanca
FORD Focus,78.000 DH  VENDUE,Diesel,2008,7 cv,277.000 km,Fès
CITROEN C4,265.000 DH  VENDUE,Diesel,2023,6 cv,3.000 km,Casablanca
HYUNDAI ix35,139.000 DH  VENDUE,Diesel,2013,7 cv,149.000 km,Casablanca
PEUGEOT 508,137.000 DH  VENDUE,Diesel,2017,6 cv,200.000 km,Rabat
FIAT 500,105.000 DH  VENDUE,Essence,2014,cv,76.000 km,Casablanca
SEAT Ibiza,119.000 DH  VENDUE,Essence,2019,6 cv,70.000 km,Settat
SEAT Leon,160.000 DH  VENDUE,Diesel,2019,6 cv,63.000 km,Casablanca
RENAULT Mégane,115.000 DH  VENDUE,Diesel,2015,6 cv,110.400 km,Beni Mellal
ALFA ROMEO Giulietta,100.000 DH  VENDUE,Diesel,2011,6 cv,153.000 km,Rabat
DACIA Sandero,70.000 DH  VENDUE,Diesel,2019,6 cv,129.000 km,Salé
VOLKSWAGEN Polo Sedan,100.000 DH  VENDUE,Diesel,2014,8 cv,113.000 km,Agadir
HONDA CR-V,160.000 DH  VENDUE,Diesel,2014,9 cv,195.000 km,Casablanca
DACIA Sandero,124.000 DH  VENDUE,Diesel,2018,6 cv,43.600 km,Larache
BMW Série 3 Coupé,143.000 DH  VENDUE,Diesel,2009,8 cv,145.000 km,Temara
JEEP Grand Cherokee,65.000 DH  VENDUE,Diesel,2007,12 cv,200.000 km,Casablanca
VOLKSWAGEN Tiguan,234.000 DH  VENDUE,Diesel,2017,8 cv,157.000 km,Meknès
FIAT 500,105.000 DH  VENDUE,Essence,2016,6 cv,48.000 km,Casablanca
CITROEN C3,65.000 DH  VENDUE,Diesel,2007,6 cv,230.000 km,Casablanca
FORD EcoSport,150.000 DH  VENDUE,Diesel,2015,6 cv,157.000 km,Khouribga
BMW X3,170.000 DH  VENDUE,Diesel,2023,8 cv,170.000 km,Casablanca
LAND ROVER Range Rover,400.000 DH  VENDUE,Diesel,2014,18 cv,178.000 km,Rabat
CITROEN C3 AirCross,165.000 DH  VENDUE,Diesel,2021,6 cv,36.000 km,Casablanca
CITROEN C-Elysée,120.000 DH  VENDUE,Diesel,2021,6 cv,35.000 km,Fès
RENAULT Mégane Coupé,165.000 DH  VENDUE,Essence,2011,11 cv,143.400 km,Rabat
HYUNDAI Tucson,298.000 DH  VENDUE,Diesel,2020,6 cv,36.000 km,Casablanca
TOYOTA C-HR,190.000 DH  VENDUE,Hybride,2018,10 cv,78.000 km,Casablanca
DACIA Sandero,120.000 DH  VENDUE,Diesel,2019,6 cv,9.900 km,Casablanca
MERCEDES Classe E,340.000 DH  VENDUE,Diesel,2018,8 cv,108.000 km,Casablanca
FORD EcoSport,182.000 DH  VENDUE,Diesel,2019,6 cv,28.000 km,Settat
SEAT Ibiza,85.000 DH  VENDUE,Diesel,2013,6 cv,221.000 km,Casablanca
JAGUAR XJ,120.000 DH  VENDUE,Diesel,2012,cv,119.000 km,Rabat
RENAULT Clio,98.000 DH  VENDUE,Diesel,2014,6 cv,190.000 km,Casablanca
OPEL Astra,137.000 DH  VENDUE,Diesel,2015,8 cv,56.250 km,Casablanca
KIA Cerato,69.000 DH  VENDUE,Diesel,2008,6 cv,246.000 km,Beni Mellal
DACIA Dokker,135.000 DH  VENDUE,Diesel,2023,6 cv,33.000 km,Casablanca
LAND ROVER Range Rover Sport,360.000 DH  VENDUE,Diesel,2016,12 cv,146.000 km,Casablanca
TOYOTA Hilux,230.000 DH  VENDUE,Diesel,2017,10 cv,63.500 km,Casablanca
PEUGEOT 208,85.000 DH  VENDUE,Essence,2019,7 cv,52.000 km,Temara
RENAULT Mégane,56.000 DH  VENDUE,Diesel,2004,6 cv,300.000 km,Mohammadia
BMW X1,320.000 DH  VENDUE,Diesel,2020,8 cv,25.000 km,Casablanca
DACIA Duster,95.000 DH  VENDUE,Diesel,2011,6 cv,220.000 km,Laayoune
CITROEN C4 Coupé,49.000 DH  VENDUE,Essence,2007,11 cv,157.634 km,Casablanca
MERCEDES GLE Coupé,590.000 DH  VENDUE,Diesel,2018,12 cv,105.000 km,Casablanca
AUDI A4,180.000 DH  VENDUE,Diesel,2014,8 cv,142.000 km,Casablanca
DACIA Logan,140.000 DH  VENDUE,Essence,2022,7 cv,8.000 km,Agadir
FORD Kuga,138.000 DH  VENDUE,Diesel,2011,8 cv,200.000 km,Casablanca
NISSAN Juke,130.000 DH  VENDUE,Diesel,2016,cv,138.000 km,Casablanca
MAZDA 3,103.000 DH  VENDUE,Diesel,2012,9 cv,190.000 km,Rabat
DACIA Dokker,120.000 DH  VENDUE,Diesel,2020,6 cv,83.000 km,Casablanca
MERCEDES Classe C,135.000 DH  VENDUE,Diesel,2008,8 cv,250 km,Casablanca
BMW Série 1,95.000 DH  VENDUE,Diesel,2008,8 cv,197.700 km,Meknès
FORD Fiesta,117.500 DH  VENDUE,Diesel,2015,6 cv,75.900 km,Mohammadia
NISSAN Micra,145.000 DH  VENDUE,Diesel,2020,6 cv,16.000 km,Casablanca
DACIA Dokker,102.000 DH  VENDUE,Diesel,2017,6 cv,102.000 km,Casablanca
PORSCHE Cayenne,240.000 DH  VENDUE,Diesel,2012,12 cv,200.000 km,Casablanca
VOLKSWAGEN Tiguan,180.000 DH  VENDUE,Diesel,2012,8 cv,190.000 km,Casablanca
VOLKSWAGEN Touareg,475.000 DH  VENDUE,Diesel,2022,12 cv,40.000 km,Casablanca
